codigo;nombre;frecuencia;bloque;uso_analitico;tratamiento
RD14948DQ;Total (total);Trimestral;Monetario, crédito y sistema financiero;Sigue condiciones crediticias, liquidez, dolarización y fragilidad del sistema financiero.;var_interanual
PN07728EM;Colocaciones - Tasa mensual de crecimiento (%) - Empresas Bancarias;Mensual;Monetario, crédito y sistema financiero;Sigue condiciones crediticias, liquidez, dolarización y fragilidad del sistema financiero.;nivel
PN07746EM;Cartera atrasada neta / Colocaciones netas (%) - Empresas Bancarias;Mensual;Monetario, crédito y sistema financiero;Sigue condiciones crediticias, liquidez, dolarización y fragilidad del sistema financiero.;nivel
PN07800EM;Palanca global - Empresas Bancarias;Mensual;Monetario, crédito y sistema financiero;Sigue condiciones crediticias, liquidez, dolarización y fragilidad del sistema financiero.;nivel
PD12912AM;Expectativa de Inflación a 12 meses;Mensual;Expectativas y mercado laboral;Anticipa decisiones empresariales y hogares mediante expectativas de inflación, actividad, tipo de cambio y demanda.;nivel
PD38048AM;Expectativa de PBI a 12 meses;Mensual;Expectativas y mercado laboral;Mide el pulso del ciclo económico y ayuda a contrastar producción, demanda interna y sectores líderes.;nivel
PD38049AM;Expectativa de TC a 12 meses;Mensual;Expectativas y mercado laboral;Sigue presiones cambiarias, pass-through inflacionario, competitividad y exposición financiera en moneda extranjera.;nivel
PD37981AM;Índice de expectativas de la economía a 12 meses;Mensual;Expectativas y mercado laboral;Anticipa decisiones empresariales y hogares mediante expectativas de inflación, actividad, tipo de cambio y demanda.;nivel
PD38045AM;Índice de expectativas de la economía a 3 meses;Mensual;Expectativas y mercado laboral;Anticipa decisiones empresariales y hogares mediante expectativas de inflación, actividad, tipo de cambio y demanda.;nivel
PD38047AM;Índice de expectativas de la demanda a 3 meses;Mensual;Expectativas y mercado laboral;Anticipa decisiones empresariales y hogares mediante expectativas de inflación, actividad, tipo de cambio y demanda.;nivel
PD39751AM;Índice de expectativas de demanda por sus productos a 12 meses;Mensual;Expectativas y mercado laboral;Anticipa decisiones empresariales y hogares mediante expectativas de inflación, actividad, tipo de cambio y demanda.;nivel
PN31880GM;Puestos de trabajo del sector formal total (var.% 12 meses);Mensual;Expectativas y mercado laboral;Anticipa decisiones empresariales y hogares mediante expectativas de inflación, actividad, tipo de cambio y demanda.;nivel
PN31882GM;Puestos de trabajo en el sector formal privado (var.% 12 meses);Mensual;Expectativas y mercado laboral;Anticipa decisiones empresariales y hogares mediante expectativas de inflación, actividad, tipo de cambio y demanda.;nivel
PN38063GM;Tasa de Desempleo (%);Mensual;Expectativas y mercado laboral;Mide holgura laboral urbana y presión sobre ingresos de los hogares.;nivel
PN38051GM;PEA ocupada en Lima Metropolitana;Mensual;Expectativas y mercado laboral;Mide el empleo urbano y su distribución por tamaño de empresa, útil para evaluar consumo, ingresos laborales y fragilidad del mercado laboral.;var_interanual
PN38058GM;PEA ocupada en empresas de 1 a 10 trabajadores;Mensual;Expectativas y mercado laboral;Mide el empleo urbano y su distribución por tamaño de empresa, útil para evaluar consumo, ingresos laborales y fragilidad del mercado laboral.;var_interanual
PN38059GM;PEA ocupada en empresas de 11 a 50 trabajadores;Mensual;Expectativas y mercado laboral;Mide el empleo urbano y su distribución por tamaño de empresa, útil para evaluar consumo, ingresos laborales y fragilidad del mercado laboral.;var_interanual
PN38060GM;PEA ocupada en empresas de 51 y más trabajadores;Mensual;Expectativas y mercado laboral;Mide el empleo urbano y su distribución por tamaño de empresa, útil para evaluar consumo, ingresos laborales y fragilidad del mercado laboral.;var_interanual
PD04701XD;Cobre (Londres, cUS$ por libras);Diaria;Cotizaciones internacionales diarias;Monitorea choques diarios de precios internacionales relevantes para exportaciones, costos importados y términos de intercambio.;retorno_log
PD04702XD;Plata (H.Harman, US$ por onzas troy);Diaria;Cotizaciones internacionales diarias;Monitorea choques diarios de precios internacionales relevantes para exportaciones, costos importados y términos de intercambio.;retorno_log
PD04703XD;Zinc (Londres, cUS$ por libras);Diaria;Cotizaciones internacionales diarias;Monitorea choques diarios de precios internacionales relevantes para exportaciones, costos importados y términos de intercambio.;retorno_log
PD04704XD;Oro (Londres, US$ por onzas troy);Diaria;Cotizaciones internacionales diarias;Monitorea choques diarios de precios internacionales relevantes para exportaciones, costos importados y términos de intercambio.;retorno_log
PD04705XD;Petróleo (West Texas Intermediate, US$ por barriles);Diaria;Cotizaciones internacionales diarias;Monitorea choques diarios de precios internacionales relevantes para exportaciones, costos importados y términos de intercambio.;retorno_log
PD31887XD;Trigo - EEUU;Diaria;Cotizaciones internacionales diarias;Monitorea choques diarios de precios internacionales relevantes para exportaciones, costos importados y términos de intercambio.;retorno_log
PD31888XD;Maíz - EEUU;Diaria;Cotizaciones internacionales diarias;Monitorea choques diarios de precios internacionales relevantes para exportaciones, costos importados y términos de intercambio.;retorno_log
PD31889XD;Aceite Soya - EEUU;Diaria;Cotizaciones internacionales diarias;Monitorea choques diarios de precios internacionales relevantes para exportaciones, costos importados y términos de intercambio.;retorno_log
PN01649XM;Harina de Pescado - Hamburgo (US$ por toneladas);Mensual;Cotizaciones internacionales mensuales;Evalúa la tendencia mensual de precios internacionales clave para minería, alimentos, energía y costos de importación.;retorno_log
PN01650XM;Azúcar - Cont.14 (US$ por toneladas);Mensual;Cotizaciones internacionales mensuales;Evalúa la tendencia mensual de precios internacionales clave para minería, alimentos, energía y costos de importación.;retorno_log
PN01651XM;Café - Otr. S. Aráb. (US$ por toneladas);Mensual;Cotizaciones internacionales mensuales;Evalúa la tendencia mensual de precios internacionales clave para minería, alimentos, energía y costos de importación.;retorno_log
PN01653XM;Estaño - LME (¢US$ por libras);Mensual;Cotizaciones internacionales mensuales;Evalúa la tendencia mensual de precios internacionales clave para minería, alimentos, energía y costos de importación.;retorno_log
PN01655XM;Plata - H. Harman (US$ por onzas troy);Mensual;Cotizaciones internacionales mensuales;Evalúa la tendencia mensual de precios internacionales clave para minería, alimentos, energía y costos de importación.;retorno_log
PN01656XM;Plomo - LME (¢US$ por libras);Mensual;Cotizaciones internacionales mensuales;Evalúa la tendencia mensual de precios internacionales clave para minería, alimentos, energía y costos de importación.;retorno_log
PN01658XM;Níquel - LME (¢US$ por libras);Mensual;Cotizaciones internacionales mensuales;Evalúa la tendencia mensual de precios internacionales clave para minería, alimentos, energía y costos de importación.;retorno_log
PN01664XM;Aceite Soya - EEUU (US$ por toneladas);Mensual;Cotizaciones internacionales mensuales;Evalúa la tendencia mensual de precios internacionales clave para minería, alimentos, energía y costos de importación.;retorno_log
PN01665XM;Fr. Soya - EEUU (US$ por toneladas);Mensual;Cotizaciones internacionales mensuales;Evalúa la tendencia mensual de precios internacionales clave para minería, alimentos, energía y costos de importación.;retorno_log
PN01666XM;Harina Soya - EEUU (US$ por toneladas);Mensual;Cotizaciones internacionales mensuales;Evalúa la tendencia mensual de precios internacionales clave para minería, alimentos, energía y costos de importación.;retorno_log
PN01129XM;EMBIG Perú mensual;Mensual;EMBIG y riesgo país mensual;Mide la prima de riesgo soberano de Perú y anticipa cambios en condiciones financieras externas.;nivel
PN01130XM;Diferencial de Rendimientos del Índice de Bonos de Mercados Emergentes (EMBIG) - Argentina;Mensual;EMBIG y riesgo país mensual;Sirve como comparador regional de riesgo soberano y sensibilidad financiera frente a choques externos.;nivel
PN01131XM;Diferencial de Rendimientos del Índice de Bonos de Mercados Emergentes (EMBIG) - Brasil;Mensual;EMBIG y riesgo país mensual;Sirve como comparador regional de riesgo soberano y sensibilidad financiera frente a choques externos.;nivel
PN01132XM;Diferencial de Rendimientos del Índice de Bonos de Mercados Emergentes (EMBIG) - Chile;Mensual;EMBIG y riesgo país mensual;Sirve como comparador regional de riesgo soberano y sensibilidad financiera frente a choques externos.;nivel
PN01133XM;Diferencial de Rendimientos del Índice de Bonos de Mercados Emergentes (EMBIG) - Colombia;Mensual;EMBIG y riesgo país mensual;Sirve como comparador regional de riesgo soberano y sensibilidad financiera frente a choques externos.;nivel
PN01134XM;Diferencial de Rendimientos del Índice de Bonos de Mercados Emergentes (EMBIG) - Ecuador;Mensual;EMBIG y riesgo país mensual;Sirve como comparador regional de riesgo soberano y sensibilidad financiera frente a choques externos.;nivel
PN01135XM;Diferencial de Rendimientos del Índice de Bonos de Mercados Emergentes (EMBIG) - México;Mensual;EMBIG y riesgo país mensual;Sirve como comparador regional de riesgo soberano y sensibilidad financiera frente a choques externos.;nivel
PN01136XM;Diferencial de Rendimientos del Índice de Bonos de Mercados Emergentes (EMBIG) - Venezuela;Mensual;EMBIG y riesgo país mensual;Sirve como comparador regional de riesgo soberano y sensibilidad financiera frente a choques externos.;nivel
PN01137XM;Latin EMBIG Países Latinoamericanos;Mensual;EMBIG y riesgo país mensual;Sirve como comparador regional de riesgo soberano y sensibilidad financiera frente a choques externos.;nivel
PN01138XM;EMBIG Países Emergentes;Mensual;EMBIG y riesgo país mensual;Sirve como comparador regional de riesgo soberano y sensibilidad financiera frente a choques externos.;nivel
PD04708XD;Spread - EMBIG America Latina (pbs);Diaria;EMBIG y riesgo país diario;Sirve como comparador regional de riesgo soberano y sensibilidad financiera frente a choques externos.;nivel
PD04709XD;EMBIG Perú diario;Diaria;EMBIG y riesgo país diario;Mide la prima de riesgo soberano de Perú y anticipa cambios en condiciones financieras externas.;nivel
PD04710XD;Spread - EMBIG Argentina (pbs);Diaria;EMBIG y riesgo país diario;Sirve como comparador regional de riesgo soberano y sensibilidad financiera frente a choques externos.;nivel
PD04711XD;Spread - EMBIG Brasil (pbs);Diaria;EMBIG y riesgo país diario;Sirve como comparador regional de riesgo soberano y sensibilidad financiera frente a choques externos.;nivel
PD04712XD;Spread - EMBIG Ecuador (pbs);Diaria;EMBIG y riesgo país diario;Sirve como comparador regional de riesgo soberano y sensibilidad financiera frente a choques externos.;nivel
PD04713XD;Spread - EMBIG México (pbs);Diaria;EMBIG y riesgo país diario;Sirve como comparador regional de riesgo soberano y sensibilidad financiera frente a choques externos.;nivel
PD04714XD;Spread - EMBIG Venezuela (pbs);Diaria;EMBIG y riesgo país diario;Sirve como comparador regional de riesgo soberano y sensibilidad financiera frente a choques externos.;nivel
PD04715XD;Spread - EMBIG Colombia (pbs);Diaria;EMBIG y riesgo país diario;Sirve como comparador regional de riesgo soberano y sensibilidad financiera frente a choques externos.;nivel
PD38580XD;Spread - EMBIG Economías emergentes (pbs);Diaria;EMBIG y riesgo país diario;Sirve como comparador regional de riesgo soberano y sensibilidad financiera frente a choques externos.;nivel
PD38581XD;Spread - EMBIG Chile (pbs);Diaria;EMBIG y riesgo país diario;Sirve como comparador regional de riesgo soberano y sensibilidad financiera frente a choques externos.;nivel
PD04718XD;Bonos del Tesoro EE.UU. 5 años;Diaria;Bonos del Tesoro de EE.UU. diarios;Captura condiciones financieras globales y referencia el costo de capital internacional.;nivel
PD04719XD;Bonos del Tesoro EE.UU. 10 años;Diaria;Bonos del Tesoro de EE.UU. diarios;Captura condiciones financieras globales y referencia el costo de capital internacional.;nivel
PD04720XD;Bonos del Tesoro EE.UU. 30 años;Diaria;Bonos del Tesoro de EE.UU. diarios;Captura condiciones financieras globales y referencia el costo de capital internacional.;nivel
PD04677MD;Créditos por regulación monetaria, S/;Diaria;Tasas de interés domésticas diarias;Monitorea transmisión monetaria, liquidez doméstica, costo de fondeo y condiciones de crédito de corto plazo.;nivel
PD04678MD;Créditos por regulación monetaria, US$;Diaria;Tasas de interés domésticas diarias;Monitorea transmisión monetaria, liquidez doméstica, costo de fondeo y condiciones de crédito de corto plazo.;nivel
PD04679MD;Del saldo de CDBCRP;Diaria;Tasas de interés domésticas diarias;Monitorea transmisión monetaria, liquidez doméstica, costo de fondeo y condiciones de crédito de corto plazo.;nivel
PD04680MD;Del saldo de CDV BCRP;Diaria;Tasas de interés domésticas diarias;Monitorea transmisión monetaria, liquidez doméstica, costo de fondeo y condiciones de crédito de corto plazo.;nivel
PD04681MD;Del saldo de CDLD BCRP;Diaria;Tasas de interés domésticas diarias;Monitorea transmisión monetaria, liquidez doméstica, costo de fondeo y condiciones de crédito de corto plazo.;nivel
PD04682MD;Operaciones de reporte, total;Diaria;Tasas de interés domésticas diarias;Monitorea transmisión monetaria, liquidez doméstica, costo de fondeo y condiciones de crédito de corto plazo.;nivel
PD04683MD;Operaciones de reporte, overnight;Diaria;Tasas de interés domésticas diarias;Monitorea transmisión monetaria, liquidez doméstica, costo de fondeo y condiciones de crédito de corto plazo.;nivel
PD04684MD;Operaciones de reporte, 1 semana;Diaria;Tasas de interés domésticas diarias;Monitorea transmisión monetaria, liquidez doméstica, costo de fondeo y condiciones de crédito de corto plazo.;nivel
PD04685MD;Operaciones de reporte, 2 semanas;Diaria;Tasas de interés domésticas diarias;Monitorea transmisión monetaria, liquidez doméstica, costo de fondeo y condiciones de crédito de corto plazo.;nivel
PD04686MD;Operaciones de reporte, 1 mes;Diaria;Tasas de interés domésticas diarias;Monitorea transmisión monetaria, liquidez doméstica, costo de fondeo y condiciones de crédito de corto plazo.;nivel
PD04687MD;Operaciones de reporte, 3 meses;Diaria;Tasas de interés domésticas diarias;Monitorea transmisión monetaria, liquidez doméstica, costo de fondeo y condiciones de crédito de corto plazo.;nivel
PD04688MD;Operaciones de reporte, directo;Diaria;Tasas de interés domésticas diarias;Monitorea transmisión monetaria, liquidez doméstica, costo de fondeo y condiciones de crédito de corto plazo.;nivel
PD04689MD;Compras con compromiso de recompras en ME;Diaria;Tasas de interés domésticas diarias;Monitorea transmisión monetaria, liquidez doméstica, costo de fondeo y condiciones de crédito de corto plazo.;nivel
PD04690MD;Préstamos y descuentos hasta 360 días, S/;Diaria;Tasas de interés domésticas diarias;Monitorea transmisión monetaria, liquidez doméstica, costo de fondeo y condiciones de crédito de corto plazo.;nivel
PD04691MD;Préstamos y descuentos hasta 360 días, US$;Diaria;Tasas de interés domésticas diarias;Monitorea transmisión monetaria, liquidez doméstica, costo de fondeo y condiciones de crédito de corto plazo.;nivel
PD12301MD;Tasa de referencia BCRP diaria;Diaria;Tasas de interés domésticas diarias;Monitorea transmisión monetaria, liquidez doméstica, costo de fondeo y condiciones de crédito de corto plazo.;nivel
PD31893DD;Rendimiento bono peruano 10 años en soles;Diaria;Tasas de interés domésticas diarias;Monitorea transmisión monetaria, liquidez doméstica, costo de fondeo y condiciones de crédito de corto plazo.;nivel
PD31894DD;Rendimiento bono peruano 10 años en dólares;Diaria;Tasas de interés domésticas diarias;Monitorea transmisión monetaria, liquidez doméstica, costo de fondeo y condiciones de crédito de corto plazo.;nivel
PD38032DD;Tasa máxima de interés convencional compensatorio para operaciones entre personas ajenas al sistema financiero - MN;Diaria;Tasas de interés domésticas diarias;Monitorea transmisión monetaria, liquidez doméstica, costo de fondeo y condiciones de crédito de corto plazo.;nivel
PD38033DD;Tasa máxima de interés convencional compensatorio para operaciones entre personas ajenas al sistema financiero - ME;Diaria;Tasas de interés domésticas diarias;Monitorea transmisión monetaria, liquidez doméstica, costo de fondeo y condiciones de crédito de corto plazo.;nivel
PD38590DD;Tasa máxima de interés convencional compensatorio para operaciones de créditos de consumo, créditos de consumo de bajo monto y créditos para pequeñas y microempresas otorgadas por empresas del sistema financiero - MN;Diaria;Tasas de interés domésticas diarias;Monitorea transmisión monetaria, liquidez doméstica, costo de fondeo y condiciones de crédito de corto plazo.;nivel
PD38591DD;Tasa máxima de interés convencional compensatorio para operaciones de créditos de consumo, créditos de consumo de bajo monto y créditos para pequeñas y microempresas otorgadas por empresas del sistema financiero - ME;Diaria;Tasas de interés domésticas diarias;Monitorea transmisión monetaria, liquidez doméstica, costo de fondeo y condiciones de crédito de corto plazo.;nivel
PD04637PD;TC Interbancario (S/ por US$) - Compra;Diaria;Mercado cambiario diario;Permite seguir presión cambiaria diaria, volatilidad del sol y señales de estrés en el mercado cambiario.;retorno_log
PD04638PD;TC Interbancario (S/ por US$) - Venta;Diaria;Mercado cambiario diario;Permite seguir presión cambiaria diaria, volatilidad del sol y señales de estrés en el mercado cambiario.;retorno_log
PD04639PD;TC Sistema bancario SBS (S/ por US$) - Compra;Diaria;Mercado cambiario diario;Permite seguir presión cambiaria diaria, volatilidad del sol y señales de estrés en el mercado cambiario.;retorno_log
PD04640PD;TC Sistema bancario SBS (S/ por US$) - Venta;Diaria;Mercado cambiario diario;Permite seguir presión cambiaria diaria, volatilidad del sol y señales de estrés en el mercado cambiario.;retorno_log
PD04643PD;TC 11:00 AM (S/ por US$) - Compra;Diaria;Mercado cambiario diario;Permite seguir presión cambiaria diaria, volatilidad del sol y señales de estrés en el mercado cambiario.;retorno_log
PD04644PD;TC 11:00 AM (S/ por US$) - Venta;Diaria;Mercado cambiario diario;Permite seguir presión cambiaria diaria, volatilidad del sol y señales de estrés en el mercado cambiario.;retorno_log
PD04647PD;TC Euro (S/ por Euro) - Compra;Diaria;Mercado cambiario diario;Permite seguir presión cambiaria diaria, volatilidad del sol y señales de estrés en el mercado cambiario.;retorno_log
PD04648PD;TC Euro (S/ por Euro) - Venta;Diaria;Mercado cambiario diario;Permite seguir presión cambiaria diaria, volatilidad del sol y señales de estrés en el mercado cambiario.;retorno_log
PD04649MD;Posición de cambio;Diaria;Reservas y operaciones BCRP diarias;Permite monitorear liquidez, intervención cambiaria, posición externa y operaciones monetarias del BCRP.;nivel
PD04650MD;Reservas internacionales netas;Diaria;Reservas y operaciones BCRP diarias;Permite monitorear liquidez, intervención cambiaria, posición externa y operaciones monetarias del BCRP.;nivel
PD04651MD;Depósitos del sistema financiero en el BCRP;Diaria;Reservas y operaciones BCRP diarias;Permite monitorear liquidez, intervención cambiaria, posición externa y operaciones monetarias del BCRP.;nivel
PD04652MD;Depósitos de empresas bancarias en el BCRP;Diaria;Reservas y operaciones BCRP diarias;Permite monitorear liquidez, intervención cambiaria, posición externa y operaciones monetarias del BCRP.;nivel
PD04653MD;Depósitos del Banco de la Nación en el BCRP;Diaria;Reservas y operaciones BCRP diarias;Permite monitorear liquidez, intervención cambiaria, posición externa y operaciones monetarias del BCRP.;nivel
PD04654MD;Otros depósitos del sistema financiero en el BCRP;Diaria;Reservas y operaciones BCRP diarias;Permite monitorear liquidez, intervención cambiaria, posición externa y operaciones monetarias del BCRP.;nivel
PD04655MD;Depósitos del sector público en el BCRP;Diaria;Reservas y operaciones BCRP diarias;Permite monitorear liquidez, intervención cambiaria, posición externa y operaciones monetarias del BCRP.;nivel
PD04656MD;Depósitos de privatización en el BCRP;Diaria;Reservas y operaciones BCRP diarias;Permite monitorear liquidez, intervención cambiaria, posición externa y operaciones monetarias del BCRP.;nivel
PD04657MD;Otros depósitos del sector público en el BCRP;Diaria;Reservas y operaciones BCRP diarias;Permite monitorear liquidez, intervención cambiaria, posición externa y operaciones monetarias del BCRP.;nivel
PD04658MD;Operaciones cambiarias BCRP (millones US$);Diaria;Reservas y operaciones BCRP diarias;Permite monitorear liquidez, intervención cambiaria, posición externa y operaciones monetarias del BCRP.;nivel
PD04659MD;Compras netas en Mesa de Negociación (millones US$);Diaria;Reservas y operaciones BCRP diarias;Permite monitorear liquidez, intervención cambiaria, posición externa y operaciones monetarias del BCRP.;nivel
PD04660MD;Operaciones swaps netas (millones US$);Diaria;Reservas y operaciones BCRP diarias;Permite monitorear liquidez, intervención cambiaria, posición externa y operaciones monetarias del BCRP.;nivel
PD04661MD;Compras con compromiso de recompras en ME neto (millones US$);Diaria;Reservas y operaciones BCRP diarias;Permite monitorear liquidez, intervención cambiaria, posición externa y operaciones monetarias del BCRP.;nivel
PD04662MD;Operaciones con el Sector Público (millones US$);Diaria;Reservas y operaciones BCRP diarias;Permite monitorear liquidez, intervención cambiaria, posición externa y operaciones monetarias del BCRP.;nivel
PD04663MD;Emisión Primaria (var% mensual);Diaria;Reservas y operaciones BCRP diarias;Permite monitorear liquidez, intervención cambiaria, posición externa y operaciones monetarias del BCRP.;nivel
PD04664MD;Emisión Primaria (var% 12 meses);Diaria;Reservas y operaciones BCRP diarias;Permite monitorear liquidez, intervención cambiaria, posición externa y operaciones monetarias del BCRP.;nivel
PD04665MD;Cuenta corrientes de bancos en BCRP (saldo millones S/);Diaria;Reservas y operaciones BCRP diarias;Permite monitorear liquidez, intervención cambiaria, posición externa y operaciones monetarias del BCRP.;nivel
PD04666MD;Créditos por regulación monetaria (millones S/);Diaria;Reservas y operaciones BCRP diarias;Permite monitorear liquidez, intervención cambiaria, posición externa y operaciones monetarias del BCRP.;nivel
PD04667MD;Créditos por regulación monetaria (millones US$);Diaria;Reservas y operaciones BCRP diarias;Permite monitorear liquidez, intervención cambiaria, posición externa y operaciones monetarias del BCRP.;nivel
PD04668MD;Depósitos del sector público en el BCRP (millones S/);Diaria;Reservas y operaciones BCRP diarias;Permite monitorear liquidez, intervención cambiaria, posición externa y operaciones monetarias del BCRP.;nivel
PD04669MD;Certificados de Depósito BCRP (saldo millones S/);Diaria;Reservas y operaciones BCRP diarias;Permite monitorear liquidez, intervención cambiaria, posición externa y operaciones monetarias del BCRP.;nivel
PD04670MD;Operaciones de reporte, total (saldo millones S/);Diaria;Reservas y operaciones BCRP diarias;Permite monitorear liquidez, intervención cambiaria, posición externa y operaciones monetarias del BCRP.;nivel
PD04671MD;Operaciones de reporte, overnight (saldo millones S/);Diaria;Reservas y operaciones BCRP diarias;Permite monitorear liquidez, intervención cambiaria, posición externa y operaciones monetarias del BCRP.;nivel
PD04672MD;Operaciones de reporte, 1 semana (saldo millones S/);Diaria;Reservas y operaciones BCRP diarias;Permite monitorear liquidez, intervención cambiaria, posición externa y operaciones monetarias del BCRP.;nivel
PD04673MD;Operaciones de reporte, 2 semanas (saldo millones S/);Diaria;Reservas y operaciones BCRP diarias;Permite monitorear liquidez, intervención cambiaria, posición externa y operaciones monetarias del BCRP.;nivel
PD04674MD;Operaciones de reporte, 1 mes (saldo millones S/);Diaria;Reservas y operaciones BCRP diarias;Permite monitorear liquidez, intervención cambiaria, posición externa y operaciones monetarias del BCRP.;nivel
PD04675MD;Operaciones de reporte, 3 meses (saldo millones S/);Diaria;Reservas y operaciones BCRP diarias;Permite monitorear liquidez, intervención cambiaria, posición externa y operaciones monetarias del BCRP.;nivel
PD04676MD;Operaciones de reporte, directo (saldo millones S/);Diaria;Reservas y operaciones BCRP diarias;Permite monitorear liquidez, intervención cambiaria, posición externa y operaciones monetarias del BCRP.;nivel
PD04694MD;Índice General Bursátil BVL (var%);Diaria;Mercado bursátil diario;Aporta señales de apetito por riesgo, valorización de activos locales y condiciones de mercado.;nivel
PD04695MD;Índice Selectivo Bursátil BVL (var%);Diaria;Mercado bursátil diario;Aporta señales de apetito por riesgo, valorización de activos locales y condiciones de mercado.;nivel
PD04696MD;Monto negociado en acciones (millones S/) - Promedio diario;Diaria;Mercado bursátil diario;Aporta señales de apetito por riesgo, valorización de activos locales y condiciones de mercado.;nivel
PD38026MD;Índice General Bursátil BVL (índice);Diaria;Mercado bursátil diario;Aporta señales de apetito por riesgo, valorización de activos locales y condiciones de mercado.;retorno_log
PD38027MD;Índice Selectivo Bursátil BVL (índice);Diaria;Mercado bursátil diario;Aporta señales de apetito por riesgo, valorización de activos locales y condiciones de mercado.;retorno_log
PD04721XD;Dow Jones (var%);Diaria;Mercado bursátil diario;Aporta señales de apetito por riesgo, valorización de activos locales y condiciones de mercado.;nivel
PN01124MM;Tasas Interés - Memo Tasas Bonos Tesoro Público - Hasta 5 años;Mensual;Curva soberana doméstica mensual;Resume el costo soberano por tramo de plazo y ayuda a evaluar expectativas de tasas, riesgo y financiamiento público.;nivel
PN01125MM;Tasas Interés - Memo Tasas Bonos Tesoro Público - De 5 hasta 10 años;Mensual;Curva soberana doméstica mensual;Resume el costo soberano por tramo de plazo y ayuda a evaluar expectativas de tasas, riesgo y financiamiento público.;nivel
PN01126MM;Tasas Interés - Memo Tasas Bonos Tesoro Público - De 10 hasta 15 años;Mensual;Curva soberana doméstica mensual;Resume el costo soberano por tramo de plazo y ayuda a evaluar expectativas de tasas, riesgo y financiamiento público.;nivel
PN01127MM;Tasas Interés - Memo Tasas Bonos Tesoro Público - De 15 hasta 20 años;Mensual;Curva soberana doméstica mensual;Resume el costo soberano por tramo de plazo y ayuda a evaluar expectativas de tasas, riesgo y financiamiento público.;nivel
PN01128MM;Tasas Interés - Memo Tasas Bonos Tesoro Público - Más de 20 años;Mensual;Curva soberana doméstica mensual;Resume el costo soberano por tramo de plazo y ayuda a evaluar expectativas de tasas, riesgo y financiamiento público.;nivel
